activity_id,opportunity_id,se_id,activity_type,activity_date,notes
ACT-0238,OPP-0258,SE-023,POC Check-in,2026-06-10,Reviewed POC progress against success criteria; Governance Suite environment stable.
ACT-0239,OPP-0187,SE-029,Technical Demo,2026-07-08,Walked through ModelServe integration and answered questions on governance controls.
ACT-0240,OPP-0326,SE-006,Technical Demo,2026-06-03,Walked through Governance Suite integration and answered questions on governance controls.
ACT-0241,OPP-0148,SE-018,Internal Sync,2026-05-30,Synced with AE on deal strategy and next steps involving PipelineOps.
ACT-0242,OPP-0294,SE-027,Discovery Call,2026-06-26,Discussed current ModelServe stack and pain points around scaling data pipelines.
ACT-0243,OPP-0297,SE-008,Technical Demo,2026-05-03,Walked through Lakehouse Core integration and answered questions on governance controls.
ACT-0244,OPP-0140,SE-006,Internal Sync,2026-05-23,Synced with AE on deal strategy and next steps involving ModelServe.
ACT-0245,OPP-0219,SE-015,Internal Sync,2026-03-18,Synced with AE on deal strategy and next steps involving Governance Suite.
ACT-0246,OPP-0334,SE-021,POC Check-in,2026-05-13,Reviewed POC progress against success criteria; Lakehouse Core environment stable.
ACT-0247,OPP-0222,SE-036,Internal Sync,2026-05-18,Synced with AE on deal strategy and next steps involving ModelServe.
ACT-0248,OPP-0213,SE-027,POC Check-in,2026-06-04,Reviewed POC progress against success criteria; PipelineOps environment stable.
ACT-0249,OPP-0344,SE-037,POC Check-in,2026-05-29,Reviewed POC progress against success criteria; Governance Suite environment stable.
ACT-0250,OPP-0322,SE-035,Technical Demo,2026-05-23,Walked through Lakehouse Core integration and answered questions on governance controls.
ACT-0251,OPP-0110,SE-031,Technical Demo,2026-05-28,Walked through Governance Suite integration and answered questions on governance controls.
ACT-0252,OPP-0290,SE-042,POC Check-in,2026-06-11,Reviewed POC progress against success criteria; Governance Suite environment stable.
ACT-0253,OPP-0187,SE-031,Discovery Call,2026-06-19,Discussed current PipelineOps stack and pain points around scaling data pipelines.
ACT-0254,OPP-0078,SE-021,Technical Demo,2026-06-10,Walked through PipelineOps integration and answered questions on governance controls.
ACT-0255,OPP-0164,SE-006,RFP Work,2026-04-16,Drafted responses covering Governance Suite security and compliance questions.
ACT-0256,OPP-0137,SE-020,Technical Demo,2026-05-13,Walked through Governance Suite integration and answered questions on governance controls.
ACT-0257,OPP-0308,SE-017,Technical Demo,2026-05-14,Walked through ModelServe integration and answered questions on governance controls.
ACT-0258,OPP-0059,SE-011,RFP Work,2026-05-02,Drafted responses covering PipelineOps security and compliance questions.
ACT-0259,OPP-0126,SE-021,Technical Demo,2026-07-05,Walked through Lakehouse Core integration and answered questions on governance controls.
ACT-0260,OPP-0287,SE-029,RFP Work,2026-03-21,Drafted responses covering Governance Suite security and compliance questions.
ACT-0261,OPP-0104,SE-012,RFP Work,2026-05-15,Drafted responses covering Lakehouse Core security and compliance questions.
ACT-0262,OPP-0015,SE-018,POC Check-in,2026-03-20,Reviewed POC progress against success criteria; PipelineOps environment stable.
ACT-0263,OPP-0330,SE-004,POC Check-in,2026-04-09,Reviewed POC progress against success criteria; PipelineOps environment stable.
ACT-0264,OPP-0029,SE-007,RFP Work,2026-04-18,Drafted responses covering Lakehouse Core security and compliance questions.
ACT-0265,OPP-0033,SE-028,POC Check-in,2026-05-14,Reviewed POC progress against success criteria; ModelServe environment stable.
ACT-0266,OPP-0204,SE-010,POC Check-in,2026-05-20,Reviewed POC progress against success criteria; Lakehouse Core environment stable.
ACT-0267,OPP-0293,SE-034,Technical Demo,2026-06-14,Walked through Lakehouse Core integration and answered questions on governance controls.
ACT-0268,OPP-0255,SE-007,Discovery Call,2026-03-16,Discussed current ModelServe stack and pain points around scaling data pipelines.
ACT-0269,OPP-0161,SE-023,Technical Demo,2026-07-13,Walked through Lakehouse Core integration and answered questions on governance controls.
ACT-0270,OPP-0121,SE-029,Internal Sync,2026-05-09,Synced with AE on deal strategy and next steps involving Governance Suite.
ACT-0271,OPP-0055,SE-013,Technical Demo,2026-03-25,Walked through PipelineOps integration and answered questions on governance controls.
ACT-0272,OPP-0226,SE-028,Technical Demo,2026-06-20,Walked through ModelServe integration and answered questions on governance controls.
ACT-0273,OPP-0252,SE-036,POC Check-in,2026-05-14,Reviewed POC progress against success criteria; Lakehouse Core environment stable.
ACT-0274,OPP-0163,SE-036,POC Check-in,2026-06-14,Reviewed POC progress against success criteria; Lakehouse Core environment stable.
ACT-0275,OPP-0350,SE-017,RFP Work,2026-05-26,Drafted responses covering Governance Suite security and compliance questions.
ACT-0276,OPP-0186,SE-032,POC Check-in,2026-05-27,Reviewed POC progress against success criteria; PipelineOps environment stable.
ACT-0277,OPP-0011,SE-040,POC Check-in,2026-04-28,Reviewed POC progress against success criteria; ModelServe environment stable.
ACT-0278,OPP-0344,SE-017,Discovery Call,2026-03-21,Discussed current Lakehouse Core stack and pain points around scaling data pipelines.
ACT-0279,OPP-0159,SE-042,POC Check-in,2026-05-29,Reviewed POC progress against success criteria; Governance Suite environment stable.
ACT-0280,OPP-0274,SE-017,POC Check-in,2026-06-11,Reviewed POC progress against success criteria; Lakehouse Core environment stable.
ACT-0281,OPP-0005,SE-027,RFP Work,2026-04-01,Drafted responses covering Governance Suite security and compliance questions.
ACT-0282,OPP-0047,SE-017,POC Check-in,2026-03-20,Reviewed POC progress against success criteria; ModelServe environment stable.
ACT-0283,OPP-0083,SE-030,POC Check-in,2026-05-06,Reviewed POC progress against success criteria; PipelineOps environment stable.
ACT-0284,OPP-0018,SE-019,POC Check-in,2026-07-14,Reviewed POC progress against success criteria; Governance Suite environment stable.
ACT-0285,OPP-0242,SE-028,Discovery Call,2026-05-25,Discussed current Governance Suite stack and pain points around scaling data pipelines.
ACT-0286,OPP-0052,SE-012,POC Check-in,2026-04-15,Reviewed POC progress against success criteria; Governance Suite environment stable.
ACT-0287,OPP-0181,SE-028,POC Check-in,2026-05-26,Reviewed POC progress against success criteria; Lakehouse Core environment stable.
ACT-0288,OPP-0233,SE-003,Internal Sync,2026-07-12,Synced with AE on deal strategy and next steps involving ModelServe.
ACT-0289,OPP-0323,SE-030,Discovery Call,2026-07-01,Discussed current PipelineOps stack and pain points around scaling data pipelines.
ACT-0290,OPP-0206,SE-014,Technical Demo,2026-04-05,Walked through Lakehouse Core integration and answered questions on governance controls.
ACT-0291,OPP-0295,SE-007,POC Check-in,2026-04-15,Reviewed POC progress against success criteria; ModelServe environment stable.
ACT-0292,OPP-0128,SE-035,Discovery Call,2026-07-08,Discussed current PipelineOps stack and pain points around scaling data pipelines.
ACT-0293,OPP-0164,SE-030,Technical Demo,2026-06-28,Walked through Governance Suite integration and answered questions on governance controls.
ACT-0294,OPP-0134,SE-013,RFP Work,2026-05-18,Drafted responses covering PipelineOps security and compliance questions.
ACT-0295,OPP-0145,SE-014,Internal Sync,2026-05-18,Synced with AE on deal strategy and next steps involving ModelServe.
ACT-0296,OPP-0189,SE-013,Discovery Call,2026-06-02,Discussed current Governance Suite stack and pain points around scaling data pipelines.
ACT-0297,OPP-0293,SE-016,RFP Work,2026-05-29,Drafted responses covering Governance Suite security and compliance questions.
ACT-0298,OPP-0286,SE-041,Discovery Call,2026-07-11,Discussed current Lakehouse Core stack and pain points around scaling data pipelines.
ACT-0299,OPP-0237,SE-014,Technical Demo,2026-05-06,Walked through Lakehouse Core integration and answered questions on governance controls.
ACT-0300,OPP-0026,SE-027,POC Check-in,2026-06-30,Reviewed POC progress against success criteria; PipelineOps environment stable.
ACT-0301,OPP-0308,SE-018,Internal Sync,2026-04-19,Synced with AE on deal strategy and next steps involving Governance Suite.
ACT-0302,OPP-0189,SE-012,Technical Demo,2026-05-28,Walked through Lakehouse Core integration and answered questions on governance controls.
ACT-0303,OPP-0008,SE-035,Internal Sync,2026-06-28,Synced with AE on deal strategy and next steps involving Lakehouse Core.
ACT-0304,OPP-0345,SE-033,RFP Work,2026-05-27,Drafted responses covering Governance Suite security and compliance questions.
ACT-0305,OPP-0105,SE-014,Discovery Call,2026-06-20,Discussed current PipelineOps stack and pain points around scaling data pipelines.
ACT-0306,OPP-0254,SE-026,POC Check-in,2026-05-06,Reviewed POC progress against success criteria; ModelServe environment stable.
ACT-0307,OPP-0106,SE-040,Technical Demo,2026-03-30,Walked through Governance Suite integration and answered questions on governance controls.
ACT-0308,OPP-0347,SE-014,Technical Demo,2026-04-26,Walked through ModelServe integration and answered questions on governance controls.
ACT-0309,OPP-0210,SE-011,RFP Work,2026-06-18,Drafted responses covering PipelineOps security and compliance questions.
ACT-0310,OPP-0135,SE-017,Discovery Call,2026-03-24,Discussed current ModelServe stack and pain points around scaling data pipelines.
ACT-0311,OPP-0128,SE-025,Internal Sync,2026-07-09,Synced with AE on deal strategy and next steps involving Governance Suite.
ACT-0312,OPP-0044,SE-002,Internal Sync,2026-04-17,Synced with AE on deal strategy and next steps involving Governance Suite.
ACT-0313,OPP-0166,SE-027,RFP Work,2026-05-04,Drafted responses covering PipelineOps security and compliance questions.
ACT-0314,OPP-0217,SE-040,Technical Demo,2026-05-17,Walked through Governance Suite integration and answered questions on governance controls.
ACT-0315,OPP-0049,SE-037,POC Check-in,2026-06-03,Reviewed POC progress against success criteria; Lakehouse Core environment stable.
ACT-0316,OPP-0171,SE-017,Discovery Call,2026-04-19,Discussed current Lakehouse Core stack and pain points around scaling data pipelines.
ACT-0317,OPP-0311,SE-040,RFP Work,2026-06-04,Drafted responses covering ModelServe security and compliance questions.
ACT-0318,OPP-0130,SE-034,Discovery Call,2026-05-23,Discussed current Lakehouse Core stack and pain points around scaling data pipelines.
ACT-0319,OPP-0155,SE-027,Internal Sync,2026-03-20,Synced with AE on deal strategy and next steps involving Governance Suite.
ACT-0320,OPP-0287,SE-004,POC Check-in,2026-04-08,Reviewed POC progress against success criteria; PipelineOps environment stable.
ACT-0321,OPP-0134,SE-012,Internal Sync,2026-04-08,Synced with AE on deal strategy and next steps involving PipelineOps.
ACT-0322,OPP-0174,SE-031,Internal Sync,2026-06-15,Synced with AE on deal strategy and next steps involving Governance Suite.
ACT-0323,OPP-0163,SE-035,Technical Demo,2026-07-09,Walked through Lakehouse Core integration and answered questions on governance controls.
ACT-0324,OPP-0134,SE-009,RFP Work,2026-06-11,Drafted responses covering PipelineOps security and compliance questions.
ACT-0325,OPP-0066,SE-033,POC Check-in,2026-03-20,Reviewed POC progress against success criteria; Lakehouse Core environment stable.
ACT-0326,OPP-0221,SE-020,POC Check-in,2026-04-18,Reviewed POC progress against success criteria; ModelServe environment stable.
ACT-0327,OPP-0265,SE-022,POC Check-in,2026-06-10,Reviewed POC progress against success criteria; ModelServe environment stable.
ACT-0328,OPP-0162,SE-033,RFP Work,2026-04-16,Drafted responses covering PipelineOps security and compliance questions.
ACT-0329,OPP-0028,SE-014,Technical Demo,2026-06-07,Walked through Governance Suite integration and answered questions on governance controls.
ACT-0330,OPP-0118,SE-013,Technical Demo,2026-06-06,Walked through Lakehouse Core integration and answered questions on governance controls.
ACT-0331,OPP-0134,SE-012,Discovery Call,2026-04-05,Discussed current Governance Suite stack and pain points around scaling data pipelines.
ACT-0332,OPP-0060,SE-033,RFP Work,2026-04-05,Drafted responses covering Governance Suite security and compliance questions.
ACT-0333,OPP-0183,SE-037,Discovery Call,2026-04-03,Discussed current Governance Suite stack and pain points around scaling data pipelines.
ACT-0334,OPP-0253,SE-009,RFP Work,2026-04-01,Drafted responses covering Governance Suite security and compliance questions.
ACT-0335,OPP-0179,SE-007,Technical Demo,2026-06-26,Walked through Lakehouse Core integration and answered questions on governance controls.
ACT-0336,OPP-0093,SE-012,Technical Demo,2026-05-22,Walked through ModelServe integration and answered questions on governance controls.
ACT-0337,OPP-0289,SE-039,Internal Sync,2026-05-22,Synced with AE on deal strategy and next steps involving ModelServe.
ACT-0338,OPP-0270,SE-038,Technical Demo,2026-04-10,Walked through Lakehouse Core integration and answered questions on governance controls.
ACT-0339,OPP-0040,SE-017,Technical Demo,2026-04-23,Walked through Governance Suite integration and answered questions on governance controls.
ACT-0340,OPP-0169,SE-003,RFP Work,2026-06-28,Drafted responses covering Lakehouse Core security and compliance questions.
ACT-0341,OPP-0202,SE-025,POC Check-in,2026-06-18,Reviewed POC progress against success criteria; Lakehouse Core environment stable.
ACT-0342,OPP-0166,SE-011,Internal Sync,2026-03-25,Synced with AE on deal strategy and next steps involving Lakehouse Core.
ACT-0343,OPP-0236,SE-032,Discovery Call,2026-06-09,Discussed current Lakehouse Core stack and pain points around scaling data pipelines.
ACT-0344,OPP-0305,SE-002,RFP Work,2026-04-12,Drafted responses covering ModelServe security and compliance questions.
ACT-0345,OPP-0336,SE-041,POC Check-in,2026-05-16,Reviewed POC progress against success criteria; Lakehouse Core environment stable.
ACT-0346,OPP-0292,SE-010,RFP Work,2026-04-22,Drafted responses covering ModelServe security and compliance questions.
ACT-0347,OPP-0330,SE-020,Technical Demo,2026-04-02,Walked through Lakehouse Core integration and answered questions on governance controls.
ACT-0348,OPP-0037,SE-037,POC Check-in,2026-04-10,Reviewed POC progress against success criteria; Lakehouse Core environment stable.
ACT-0349,OPP-0048,SE-027,Internal Sync,2026-03-26,Synced with AE on deal strategy and next steps involving Governance Suite.
ACT-0350,OPP-0123,SE-027,POC Check-in,2026-04-02,Reviewed POC progress against success criteria; PipelineOps environment stable.
ACT-0351,OPP-0107,SE-012,Discovery Call,2026-05-30,Discussed current Lakehouse Core stack and pain points around scaling data pipelines.
ACT-0352,OPP-0146,SE-011,RFP Work,2026-03-26,Drafted responses covering Governance Suite security and compliance questions.
ACT-0353,OPP-0252,SE-029,Discovery Call,2026-06-10,Discussed current ModelServe stack and pain points around scaling data pipelines.
ACT-0354,OPP-0184,SE-008,POC Check-in,2026-03-19,Reviewed POC progress against success criteria; PipelineOps environment stable.
ACT-0355,OPP-0251,SE-030,POC Check-in,2026-03-22,Reviewed POC progress against success criteria; PipelineOps environment stable.
ACT-0356,OPP-0138,SE-038,RFP Work,2026-06-15,Drafted responses covering Governance Suite security and compliance questions.
ACT-0357,OPP-0047,SE-029,Internal Sync,2026-05-08,Synced with AE on deal strategy and next steps involving Governance Suite.
ACT-0358,OPP-0223,SE-042,POC Check-in,2026-03-23,Reviewed POC progress against success criteria; PipelineOps environment stable.
ACT-0359,OPP-0021,SE-034,RFP Work,2026-04-27,Drafted responses covering Lakehouse Core security and compliance questions.
ACT-0360,OPP-0347,SE-016,POC Check-in,2026-03-31,Reviewed POC progress against success criteria; Governance Suite environment stable.
ACT-0361,OPP-0270,SE-042,Technical Demo,2026-05-04,Walked through Governance Suite integration and answered questions on governance controls.
ACT-0362,OPP-0149,SE-031,Internal Sync,2026-06-27,Synced with AE on deal strategy and next steps involving Lakehouse Core.
ACT-0363,OPP-0245,SE-021,RFP Work,2026-03-31,Drafted responses covering Lakehouse Core security and compliance questions.
ACT-0364,OPP-0154,SE-017,Technical Demo,2026-05-18,Walked through PipelineOps integration and answered questions on governance controls.
ACT-0365,OPP-0152,SE-038,Internal Sync,2026-06-28,Synced with AE on deal strategy and next steps involving Governance Suite.
ACT-0366,OPP-0024,SE-034,Discovery Call,2026-04-04,Discussed current Lakehouse Core stack and pain points around scaling data pipelines.
ACT-0367,OPP-0212,SE-008,Discovery Call,2026-07-09,Discussed current Governance Suite stack and pain points around scaling data pipelines.
ACT-0368,OPP-0182,SE-018,RFP Work,2026-03-18,Drafted responses covering ModelServe security and compliance questions.
ACT-0369,OPP-0258,SE-003,Internal Sync,2026-03-29,Synced with AE on deal strategy and next steps involving Lakehouse Core.
ACT-0370,OPP-0092,SE-013,Discovery Call,2026-04-26,Discussed current Governance Suite stack and pain points around scaling data pipelines.
ACT-0371,OPP-0043,SE-028,RFP Work,2026-06-16,Drafted responses covering Lakehouse Core security and compliance questions.
ACT-0372,OPP-0301,SE-031,POC Check-in,2026-04-07,Reviewed POC progress against success criteria; ModelServe environment stable.
ACT-0373,OPP-0175,SE-013,RFP Work,2026-03-26,Drafted responses covering ModelServe security and compliance questions.
ACT-0374,OPP-0041,SE-040,Technical Demo,2026-04-10,Walked through PipelineOps integration and answered questions on governance controls.
ACT-0375,OPP-0223,SE-036,POC Check-in,2026-05-22,Reviewed POC progress against success criteria; Lakehouse Core environment stable.
ACT-0376,OPP-0203,SE-009,Discovery Call,2026-04-24,Discussed current Lakehouse Core stack and pain points around scaling data pipelines.
ACT-0377,OPP-0336,SE-032,Discovery Call,2026-04-24,Discussed current PipelineOps stack and pain points around scaling data pipelines.
ACT-0378,OPP-0337,SE-040,RFP Work,2026-06-13,Drafted responses covering Governance Suite security and compliance questions.
ACT-0379,OPP-0317,SE-041,RFP Work,2026-03-21,Drafted responses covering ModelServe security and compliance questions.
ACT-0380,OPP-0155,SE-007,POC Check-in,2026-04-01,Reviewed POC progress against success criteria; Governance Suite environment stable.
ACT-0381,OPP-0008,SE-014,Technical Demo,2026-05-06,Walked through PipelineOps integration and answered questions on governance controls.
ACT-0382,OPP-0097,SE-003,Discovery Call,2026-04-08,Discussed current Lakehouse Core stack and pain points around scaling data pipelines.
ACT-0383,OPP-0333,SE-011,Technical Demo,2026-04-22,Walked through Governance Suite integration and answered questions on governance controls.
ACT-0384,OPP-0321,SE-036,Technical Demo,2026-06-10,Walked through Governance Suite integration and answered questions on governance controls.
ACT-0385,OPP-0155,SE-031,Technical Demo,2026-06-23,Walked through Lakehouse Core integration and answered questions on governance controls.
ACT-0386,OPP-0217,SE-003,Technical Demo,2026-07-12,Walked through Governance Suite integration and answered questions on governance controls.
ACT-0387,OPP-0079,SE-030,Discovery Call,2026-05-29,Discussed current PipelineOps stack and pain points around scaling data pipelines.
ACT-0388,OPP-0011,SE-030,RFP Work,2026-06-29,Drafted responses covering Governance Suite security and compliance questions.
ACT-0389,OPP-0104,SE-020,Internal Sync,2026-04-06,Synced with AE on deal strategy and next steps involving PipelineOps.
ACT-0390,OPP-0027,SE-023,Internal Sync,2026-03-30,Synced with AE on deal strategy and next steps involving Governance Suite.
ACT-0391,OPP-0323,SE-029,Discovery Call,2026-07-05,Discussed current Lakehouse Core stack and pain points around scaling data pipelines.
ACT-0392,OPP-0297,SE-040,RFP Work,2026-06-20,Drafted responses covering Governance Suite security and compliance questions.
ACT-0393,OPP-0019,SE-033,Internal Sync,2026-05-02,Synced with AE on deal strategy and next steps involving ModelServe.
ACT-0394,OPP-0263,SE-039,RFP Work,2026-03-20,Drafted responses covering Governance Suite security and compliance questions.
ACT-0395,OPP-0119,SE-005,Internal Sync,2026-06-05,Synced with AE on deal strategy and next steps involving Governance Suite.
ACT-0396,OPP-0217,SE-038,Internal Sync,2026-04-29,Synced with AE on deal strategy and next steps involving Lakehouse Core.
ACT-0397,OPP-0138,SE-028,POC Check-in,2026-05-25,Reviewed POC progress against success criteria; Lakehouse Core environment stable.
ACT-0398,OPP-0254,SE-041,RFP Work,2026-03-22,Drafted responses covering Lakehouse Core security and compliance questions.
ACT-0399,OPP-0224,SE-003,POC Check-in,2026-05-19,Reviewed POC progress against success criteria; Governance Suite environment stable.
ACT-0400,OPP-0099,SE-032,Technical Demo,2026-05-02,Walked through ModelServe integration and answered questions on governance controls.
ACT-0401,OPP-0119,SE-034,POC Check-in,2026-05-04,Reviewed POC progress against success criteria; Governance Suite environment stable.
ACT-0402,OPP-0309,SE-031,Technical Demo,2026-05-15,Walked through ModelServe integration and answered questions on governance controls.
ACT-0403,OPP-0200,SE-028,Technical Demo,2026-05-15,Walked through ModelServe integration and answered questions on governance controls.
ACT-0404,OPP-0083,SE-041,POC Check-in,2026-07-07,Reviewed POC progress against success criteria; Governance Suite environment stable.
ACT-0405,OPP-0045,SE-032,Technical Demo,2026-06-15,Walked through ModelServe integration and answered questions on governance controls.
ACT-0406,OPP-0103,SE-012,Technical Demo,2026-04-30,Walked through PipelineOps integration and answered questions on governance controls.
ACT-0407,OPP-0052,SE-028,Internal Sync,2026-06-06,Synced with AE on deal strategy and next steps involving Governance Suite.
ACT-0408,OPP-0121,SE-015,RFP Work,2026-07-13,Drafted responses covering ModelServe security and compliance questions.
ACT-0409,OPP-0010,SE-024,Internal Sync,2026-06-24,Synced with AE on deal strategy and next steps involving Lakehouse Core.
ACT-0410,OPP-0347,SE-012,POC Check-in,2026-03-18,Reviewed POC progress against success criteria; ModelServe environment stable.
ACT-0411,OPP-0033,SE-023,Technical Demo,2026-04-17,Walked through Lakehouse Core integration and answered questions on governance controls.
ACT-0412,OPP-0317,SE-016,RFP Work,2026-05-11,Drafted responses covering Lakehouse Core security and compliance questions.
ACT-0413,OPP-0250,SE-018,Discovery Call,2026-06-12,Discussed current PipelineOps stack and pain points around scaling data pipelines.
ACT-0414,OPP-0024,SE-037,POC Check-in,2026-06-13,Reviewed POC progress against success criteria; ModelServe environment stable.
ACT-0415,OPP-0264,SE-040,POC Check-in,2026-03-17,Reviewed POC progress against success criteria; PipelineOps environment stable.
ACT-0416,OPP-0225,SE-031,Discovery Call,2026-05-20,Discussed current Lakehouse Core stack and pain points around scaling data pipelines.
ACT-0417,OPP-0313,SE-041,Discovery Call,2026-04-27,Discussed current Lakehouse Core stack and pain points around scaling data pipelines.
ACT-0418,OPP-0260,SE-008,Discovery Call,2026-03-21,Discussed current Lakehouse Core stack and pain points around scaling data pipelines.
ACT-0419,OPP-0106,SE-025,Technical Demo,2026-03-27,Walked through Lakehouse Core integration and answered questions on governance controls.
ACT-0420,OPP-0227,SE-034,Technical Demo,2026-04-23,Walked through ModelServe integration and answered questions on governance controls.
ACT-0421,OPP-0079,SE-025,RFP Work,2026-05-31,Drafted responses covering Lakehouse Core security and compliance questions.
ACT-0422,OPP-0063,SE-014,POC Check-in,2026-05-11,Reviewed POC progress against success criteria; PipelineOps environment stable.
ACT-0423,OPP-0004,SE-017,RFP Work,2026-05-13,Drafted responses covering Governance Suite security and compliance questions.
ACT-0424,OPP-0147,SE-034,RFP Work,2026-06-09,Drafted responses covering ModelServe security and compliance questions.
ACT-0425,OPP-0137,SE-025,Technical Demo,2026-06-04,Walked through Lakehouse Core integration and answered questions on governance controls.
ACT-0426,OPP-0323,SE-017,RFP Work,2026-03-21,Drafted responses covering ModelServe security and compliance questions.
ACT-0427,OPP-0117,SE-010,Technical Demo,2026-07-09,Walked through Governance Suite integration and answered questions on governance controls.
ACT-0428,OPP-0210,SE-031,RFP Work,2026-05-14,Drafted responses covering Governance Suite security and compliance questions.
ACT-0429,OPP-0016,SE-030,Internal Sync,2026-05-04,Synced with AE on deal strategy and next steps involving ModelServe.
ACT-0430,OPP-0265,SE-006,Technical Demo,2026-05-26,Walked through Lakehouse Core integration and answered questions on governance controls.
ACT-0431,OPP-0162,SE-027,Discovery Call,2026-06-23,Discussed current ModelServe stack and pain points around scaling data pipelines.
ACT-0432,OPP-0032,SE-027,Technical Demo,2026-07-08,Walked through Governance Suite integration and answered questions on governance controls.
ACT-0433,OPP-0295,SE-005,Discovery Call,2026-06-16,Discussed current PipelineOps stack and pain points around scaling data pipelines.
ACT-0434,OPP-0215,SE-027,Internal Sync,2026-06-14,Synced with AE on deal strategy and next steps involving ModelServe.
ACT-0435,OPP-0161,SE-024,Internal Sync,2026-03-21,Synced with AE on deal strategy and next steps involving ModelServe.
ACT-0436,OPP-0271,SE-041,Discovery Call,2026-05-31,Discussed current ModelServe stack and pain points around scaling data pipelines.
ACT-0437,OPP-0229,SE-015,Technical Demo,2026-04-11,Walked through Governance Suite integration and answered questions on governance controls.
ACT-0438,OPP-0177,SE-027,Internal Sync,2026-05-10,Synced with AE on deal strategy and next steps involving Governance Suite.
ACT-0439,OPP-0044,SE-004,Technical Demo,2026-03-30,Walked through ModelServe integration and answered questions on governance controls.
ACT-0440,OPP-0200,SE-010,Internal Sync,2026-05-20,Synced with AE on deal strategy and next steps involving ModelServe.
ACT-0441,OPP-0110,SE-007,Internal Sync,2026-05-30,Synced with AE on deal strategy and next steps involving ModelServe.
ACT-0442,OPP-0267,SE-023,Internal Sync,2026-04-19,Synced with AE on deal strategy and next steps involving ModelServe.
ACT-0443,OPP-0015,SE-036,Technical Demo,2026-04-05,Walked through Lakehouse Core integration and answered questions on governance controls.
ACT-0444,OPP-0124,SE-021,Internal Sync,2026-05-22,Synced with AE on deal strategy and next steps involving ModelServe.
ACT-0445,OPP-0031,SE-025,RFP Work,2026-04-14,Drafted responses covering Lakehouse Core security and compliance questions.
ACT-0446,OPP-0064,SE-005,POC Check-in,2026-06-12,Reviewed POC progress against success criteria; ModelServe environment stable.
ACT-0447,OPP-0153,SE-038,Discovery Call,2026-04-20,Discussed current Governance Suite stack and pain points around scaling data pipelines.
ACT-0448,OPP-0174,SE-017,Discovery Call,2026-06-02,Discussed current Governance Suite stack and pain points around scaling data pipelines.
ACT-0449,OPP-0180,SE-021,Internal Sync,2026-06-26,Synced with AE on deal strategy and next steps involving PipelineOps.
ACT-0450,OPP-0194,SE-035,POC Check-in,2026-04-01,Reviewed POC progress against success criteria; PipelineOps environment stable.
ACT-0451,OPP-0168,SE-035,Technical Demo,2026-04-14,Walked through Lakehouse Core integration and answered questions on governance controls.
ACT-0452,OPP-0185,SE-031,Internal Sync,2026-05-21,Synced with AE on deal strategy and next steps involving PipelineOps.
ACT-0453,OPP-0218,SE-028,Discovery Call,2026-05-28,Discussed current PipelineOps stack and pain points around scaling data pipelines.
ACT-0454,OPP-0032,SE-029,Discovery Call,2026-04-23,Discussed current Lakehouse Core stack and pain points around scaling data pipelines.
ACT-0455,OPP-0110,SE-030,Technical Demo,2026-05-05,Walked through Governance Suite integration and answered questions on governance controls.
ACT-0456,OPP-0347,SE-035,Discovery Call,2026-04-10,Discussed current ModelServe stack and pain points around scaling data pipelines.
ACT-0457,OPP-0136,SE-039,RFP Work,2026-06-20,Drafted responses covering Governance Suite security and compliance questions.
ACT-0458,OPP-0226,SE-033,RFP Work,2026-06-28,Drafted responses covering Governance Suite security and compliance questions.
ACT-0459,OPP-0074,SE-034,RFP Work,2026-06-16,Drafted responses covering PipelineOps security and compliance questions.
ACT-0460,OPP-0235,SE-010,Technical Demo,2026-06-07,Walked through Governance Suite integration and answered questions on governance controls.
ACT-0461,OPP-0109,SE-031,Internal Sync,2026-04-22,Synced with AE on deal strategy and next steps involving Lakehouse Core.
ACT-0462,OPP-0081,SE-037,RFP Work,2026-04-02,Drafted responses covering Lakehouse Core security and compliance questions.
ACT-0463,OPP-0309,SE-028,POC Check-in,2026-04-21,Reviewed POC progress against success criteria; Lakehouse Core environment stable.
ACT-0464,OPP-0190,SE-038,Discovery Call,2026-06-24,Discussed current Lakehouse Core stack and pain points around scaling data pipelines.
ACT-0465,OPP-0268,SE-011,POC Check-in,2026-05-13,Reviewed POC progress against success criteria; Lakehouse Core environment stable.
ACT-0466,OPP-0157,SE-025,Discovery Call,2026-04-19,Discussed current ModelServe stack and pain points around scaling data pipelines.
ACT-0467,OPP-0249,SE-003,POC Check-in,2026-04-02,Reviewed POC progress against success criteria; ModelServe environment stable.
ACT-0468,OPP-0302,SE-028,Technical Demo,2026-05-26,Walked through PipelineOps integration and answered questions on governance controls.
ACT-0469,OPP-0146,SE-015,Discovery Call,2026-04-19,Discussed current ModelServe stack and pain points around scaling data pipelines.
ACT-0470,OPP-0002,SE-009,Technical Demo,2026-03-31,Walked through Governance Suite integration and answered questions on governance controls.
ACT-0471,OPP-0035,SE-004,Internal Sync,2026-06-25,Synced with AE on deal strategy and next steps involving ModelServe.
ACT-0472,OPP-0294,SE-021,RFP Work,2026-07-07,Drafted responses covering Governance Suite security and compliance questions.
ACT-0473,OPP-0173,SE-026,Internal Sync,2026-05-05,Synced with AE on deal strategy and next steps involving Governance Suite.
ACT-0474,OPP-0071,SE-034,RFP Work,2026-04-24,Drafted responses covering PipelineOps security and compliance questions.
ACT-0475,OPP-0342,SE-030,RFP Work,2026-05-09,Drafted responses covering Governance Suite security and compliance questions.
